,x,y
0,50,60
1,16,32
2,33,21
3,60,46
4,0,67
5,7,11
6,5,46
7,0,67
8,0,67
9,16,32
10,7,11
11,71,59
12,72,77
13,71,59
14,77,72
15,50,60
16,99,67
17,34,11
18,34,11
19,50,60
20,7,11
21,7,11
22,5,58
23,60,46
24,16,32
25,7,11
26,71,59
27,72,77
28,7,11
29,50,60
30,7,11
31,16,87
32,14,97
33,7,11
34,40,41
35,7,11
36,7,11
37,7,11
38,16,32
39,77,72
40,63,78
41,16,87
42,7,11
43,7,11
44,0,67
45,0,67
46,0,67
47,7,11
48,60,46
49,0,67
50,0,67
51,50,90
52,0,67
53,7,11
54,0,67
55,71,59
56,34,11
57,34,11
58,0,67
59,7,11
60,34,11
61,0,67
62,34,11
63,5,58
64,7,11
65,0,67
66,0,67
67,0,67
68,47,91
69,77,72
70,60,46
71,60,46
72,50,90
73,7,11
74,72,77
75,77,72
76,63,78
77,50,60
78,0,67
79,5,58
80,71,59
81,40,41
82,50,90
83,71,59
84,63,78
85,7,11
86,0,67
87,34,11
88,16,32
89,34,11
90,34,11
91,7,11
92,0,67
93,34,11
94,47,91
95,7,11
96,77,72
97,0,67
98,50,60
99,0,67
100,50,90
101,50,60
102,7,11
103,34,11
104,34,11
105,34,11
106,7,11
107,16,32
108,16,32
109,7,11
110,7,11
111,50,90
112,72,77
113,16,32
114,34,11
115,71,59
116,0,67
117,0,67
118,71,59
119,71,59
120,50,60
121,63,78
122,94,63
123,14,97
124,16,32
125,5,58
126,50,60
127,16,32
128,7,11
129,0,67
130,4,91
131,0,67
132,56,17
133,0,67
134,34,11
135,34,11
136,34,11
137,34,11
138,50,60
139,34,11
140,50,60
141,34,11
142,0,67
143,71,59
144,71,59
145,34,11
146,34,11
147,16,32
148,50,60
149,50,60
150,0,67
151,50,60
152,16,32
153,34,11
154,71,59
155,94,63
156,50,60
157,34,11
158,7,11
159,7,11
160,0,67
161,34,11
162,0,67
163,16,87
164,7,11
165,50,60
166,50,60
167,50,60
168,50,60
169,72,77
170,50,90
171,0,67
172,72,77
173,34,11
174,50,60
175,0,67
176,0,67
177,0,67
178,50,60
179,50,90
180,40,41
181,50,60
182,34,11
183,50,90
184,0,67
185,71,59
186,72,77
187,0,67
188,50,60
189,16,32
190,34,11
191,34,11
192,16,32
193,34,11
194,0,67
195,50,60
196,34,11
197,50,60
198,67,15
199,14,97
200,34,11
201,34,11
202,50,60
203,77,72
204,0,67
205,71,59
206,7,11
207,0,67
208,16,87
209,5,58
210,50,90
211,40,41
212,7,11
213,34,11
214,16,32
215,7,11
216,0,67
217,16,87
218,47,91
219,50,60
220,50,60
221,7,11
222,50,90
223,63,78
224,71,59
225,50,90
226,14,97
227,0,67
228,0,67
229,71,59
230,77,72
231,16,32
232,60,46
233,34,11
234,34,11
235,34,11
236,5,58
237,34,11
238,40,41
239,50,90
240,0,67
241,7,11
242,34,11
243,34,11
244,0,67
245,0,67
246,50,60
247,50,60
248,50,60
249,47,91
250,72,77
251,50,90
252,72,77
253,50,60
254,50,60
255,60,46
256,49,39
257,34,11
258,77,72
259,16,87
260,34,11
261,0,67
262,34,11
263,7,11
264,34,11
265,7,11
266,0,67
267,34,11
268,34,11
269,0,67
270,34,11
271,72,77
272,50,60
273,71,59
274,16,32
275,77,72
276,16,32
277,67,15
278,7,11
279,0,67
280,7,11
281,7,11
282,63,78
283,7,11
284,16,32
285,7,11
286,71,59
287,77,72
288,16,32
289,7,11
